supplier,fiscal_year,revenue,COGS,gross_margin_pct,cash_flow,debt_equity_ratio,cost_savings,PPV,QP,QR,lead_time_attainment,carbon_emission_intensity,renewable_energy_usage,plastic_recycle,human_rights_compliance_score,node_parity,DDR_gen_support,geo_risk,tariff_risk,chip_shortage_impact,supplier_code,PSL_cluster,PSL_status,PSL_score,score_cost_savings,score_PPV,score_QP,score_QR,score_lead_time_attainment,score_carbon,score_renewable_energy_usage,score_plastic_recycle,score_human_rights_compliance_score,score_cost_block,score_qd_block,score_esg_block,composite_score,allocation_percent
Micron,2015,16300000.0,11660000.0,28.5,7800000.0,0.62,10.0,-1000.0,85.0,80.0,90.0,18.5,7.0,80.0,91.0,1.0,0.1,0.3,0.08,0.08,0,1,Developing,0.6,1.0,0.09090909090909091,0.0,0.0,0.9090909090909091,0.5185185185185185,0.08823529411764706,0.15384615384615385,0.14285714285714285,0.5454545454545454,0.30303030303030304,0.22586427733486558,0.468040973188032,25.0
Samsung,2015,176500000.0,108892000.0,37.5,39000000000.0,0.17,10.0,-500.0,95.0,90.0,95.0,25.5,5.0,78.0,90.0,1.0,0.2,0.25,0.06,0.08,2,2,Preferred,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.029411764705882353,0.0,0.0,0.5,1.0,0.007352941176470588,0.8507352941176471,50.0
SK Hynix,2015,16900000.0,12168000.0,28.0,8000000.0,0.7,8.0,-1500.0,85.0,80.0,90.0,24.5,4.0,79.0,91.0,1.0,0.1,0.28,0.07,0.08,1,1,Developing,0.6,0.8461538461538461,0.18181818181818182,0.0,0.0,0.9090909090909091,0.07407407407407407,0.0,0.07692307692307693,0.14285714285714285,0.513986013986014,0.30303030303030304,0.07346357346357346,0.44965404965404965,25.0
Micron,2016,12400000.0,10210000.0,17.6,3100000.0,0.7,5.0,-1000.0,85.0,80.0,90.0,17.9,9.0,82.0,92.0,1.0,0.2,0.3,0.08,0.08,0,1,Developing,0.6,0.6153846153846154,0.09090909090909091,0.0,0.0,0.9090909090909091,0.5629629629629631,0.14705882352941177,0.3076923076923077,0.2857142857142857,0.3531468531468532,0.30303030303030304,0.325857094974742,0.45880948572125047,25.0
Samsung,2016,177000000.0,109740000.0,38.0,45500000000.0,0.15,7.0,-500.0,95.0,90.0,95.0,24.0,6.0,80.0,90.0,1.0,0.3,0.25,0.06,0.08,2,2,Preferred,1.0,0.7692307692307693,0.0,1.0,1.0,1.0,0.1111111111111111,0.058823529411764705,0.15384615384615385,0.0,0.38461538461538464,1.0,0.08094519859225742,0.8465560583207641,50.0
SK Hynix,2016,13000000.0,10790000.0,17.0,3500000.0,0.75,4.0,-1500.0,85.0,80.0,90.0,23.0,5.0,81.0,92.0,1.0,0.2,0.282,0.07,0.08,1,1,Developing,0.6,0.5384615384615384,0.18181818181818182,0.0,0.0,0.9090909090909091,0.18518518518518517,0.029411764705882353,0.23076923076923078,0.2857142857142857,0.3601398601398601,0.30303030303030304,0.182770116593646,0.44520008858244153,25.0
Micron,2017,20322000.0,11090000.0,45.4,7600000.0,0.55,5.0,-1000.0,85.0,80.0,90.0,17.0,12.0,84.0,93.0,1.0,0.3,0.302,0.08,0.08,0,1,Developing,0.6,0.6153846153846154,0.09090909090909091,0.0,0.0,0.9090909090909091,0.6296296296296297,0.23529411764705882,0.46153846153846156,0.42857142857142855,0.3531468531468532,0.30303030303030304,0.4387584093466446,0.47009961715844073,25.0
Samsung,2017,198000000.0,111870000.0,43.5,60500000000.0,0.1,7.0,-500.0,95.0,90.0,95.0,22.9,8.0,82.0,91.0,1.0,0.4,0.251,0.06,0.08,2,2,Preferred,1.0,0.7692307692307693,0.0,1.0,1.0,1.0,0.1925925925925927,0.11764705882352941,0.3076923076923077,0.14285714285714285,0.38461538461538464,1.0,0.19019727549139315,0.8574812660106776,50.0
SK Hynix,2017,18900000.0,10400000.0,45.0,6500000.0,0.62,4.0,-1500.0,85.0,80.0,90.0,21.5,6.0,83.0,92.0,1.0,0.3,0.284,0.07,0.08,1,1,Developing,0.6,0.5384615384615384,0.18181818181818182,0.0,0.0,0.9090909090909091,0.2962962962962963,0.058823529411764705,0.38461538461538464,0.2857142857142857,0.3601398601398601,0.30303030303030304,0.25636237400943285,0.45255931432402025,25.0
Micron,2018,30391000.0,12560000.0,58.7,17200000.0,0.31,5.0,-1000.0,85.0,80.0,90.0,16.3,14.0,85.0,95.0,1.0,0.4,0.304,0.48,0.08,0,1,Developing,0.6,0.6153846153846154,0.09090909090909091,0.0,0.0,0.9090909090909091,0.6814814814814815,0.29411764705882354,0.5384615384615384,0.7142857142857143,0.3531468531468532,0.30303030303030304,0.5570865953218894,0.4819324357559652,25.0
